flight_id,timestamp,latitude,longitude,altitude_m,speed_mps,step
FLT-00001,2023-02-13 11:40:50,-2.084135,29.617336,123.1,21.47,0
FLT-00001,2023-02-13 11:41:20,-2.082498,29.621999,117.7,21.44,1
FLT-00001,2023-02-13 11:41:50,-2.080996,29.63109,119.8,22.65,2
FLT-00001,2023-02-13 11:42:20,-2.082103,29.636556,119.9,20.48,3
FLT-00001,2023-02-13 11:42:50,-2.078413,29.64124,123.6,18.32,4
FLT-00001,2023-02-13 11:43:20,-2.07868,29.646699,118.8,20.4,5
FLT-00001,2023-02-13 11:43:50,-2.077961,29.652159,119.3,22.34,6
FLT-00001,2023-02-13 11:44:20,-2.077115,29.659801,119.8,22.7,7
FLT-00001,2023-02-13 11:44:50,-2.076531,29.666411,118.9,22.95,8
FLT-00001,2023-02-13 11:45:20,-2.074166,29.671545,120.1,22.22,9
FLT-00001,2023-02-13 11:45:50,-2.072882,29.676842,122.1,25.29,10
FLT-00001,2023-02-13 11:46:20,-2.072413,29.683659,119.2,21.81,11
FLT-00001,2023-02-13 11:46:50,-2.070305,29.689189,121.3,22.2,12
FLT-00001,2023-02-13 11:47:20,-2.071474,29.697954,120.1,18.21,13
FLT-00001,2023-02-13 11:47:50,-2.070345,29.701383,117.8,22.89,14
FLT-00001,2023-02-13 11:48:20,-2.06746,29.708523,116.9,24.79,15
FLT-00001,2023-02-13 11:48:50,-2.068682,29.713456,120.1,21.68,16
FLT-00001,2023-02-13 11:49:20,-2.066189,29.71844,120.6,21.7,17
FLT-00001,2023-02-13 11:49:50,-2.064725,29.726865,123.7,23.0,18
FLT-00001,2023-02-13 11:50:20,-2.063845,29.731417,121.0,24.22,19
FLT-00001,2023-02-13 11:50:50,-2.062544,29.73891,123.5,21.93,20
FLT-00001,2023-02-13 11:51:20,-2.061196,29.74366,114.9,21.63,21
FLT-00001,2023-02-13 11:51:50,-2.062079,29.749947,118.9,24.03,22
FLT-00001,2023-02-13 11:52:20,-2.060324,29.755719,118.9,19.79,23
FLT-00001,2023-02-13 11:52:50,-2.059369,29.765275,114.1,19.65,24
FLT-00001,2023-02-13 11:53:20,-2.061555,29.766608,120.4,22.15,25
FLT-00001,2023-02-13 11:53:50,-2.057539,29.773115,123.6,20.02,26
FLT-00001,2023-02-13 11:54:20,-2.055711,29.7793,118.2,22.26,27
FLT-00001,2023-02-13 11:54:50,-2.055759,29.786429,117.5,21.35,28
FLT-00001,2023-02-13 11:55:20,-2.053245,29.792798,111.5,23.07,29
FLT-00001,2023-02-13 11:55:50,-2.051996,29.797938,113.6,23.21,30
FLT-00001,2023-02-13 11:56:20,-2.050209,29.80323,117.2,22.11,31
