flight_id,drone_id,battery_id,launch_timestamp,duration_min,destination_hospital,destination_district,dest_lat,dest_lon,distance_km,payload_g,blood_product,weather,outcome,battery_pct_end
FLT-00001,ZIP-14,BAT-1228,2023-02-13 11:40:50,135.1,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1708,Whole Blood,Overcast,Delivered,61
FLT-00002,ZIP-16,BAT-1095,2023-12-13 17:42:58,139.3,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,676,Whole Blood,Foggy,Returned - Weather,53
FLT-00003,ZIP-18,BAT-1603,2023-10-06 07:47:11,37.8,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,213,Packed Red Cells,Foggy,Returned - Weather,62
FLT-00004,ZIP-13,BAT-1344,2023-05-13 09:21:52,99.9,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,389,Platelets,Partly Cloudy,Partial Delivery,24
FLT-00005,ZIP-24,BAT-1044,2023-11-26 09:13:12,85.4,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1298,Whole Blood,Overcast,Partial Delivery,42
FLT-00006,ZIP-12,BAT-1196,2023-08-03 15:23:29,23.9,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,293,Packed Red Cells,Foggy,Partial Delivery,67
FLT-00007,ZIP-24,BAT-1284,2023-02-01 05:42:54,89.5,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1501,Fresh Frozen Plasma,Clear,Delivered,28
FLT-00008,ZIP-30,BAT-1959,2023-05-19 05:21:46,84.3,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,346,Packed Red Cells,Overcast,Returned - Technical,52
FLT-00009,ZIP-27,BAT-1655,2023-04-06 07:48:11,136.2,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,649,Fresh Frozen Plasma,Light Rain,Delivered,71
FLT-00010,ZIP-12,BAT-1274,2023-03-31 04:52:57,28.2,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,632,Fresh Frozen Plasma,Overcast,Delivered,31
FLT-00011,ZIP-27,BAT-1252,2023-07-14 03:10:21,138.1,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1303,Fresh Frozen Plasma,Light Rain,Returned - Weather,65
FLT-00012,ZIP-26,BAT-1141,2023-06-16 15:17:33,116.4,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1210,Whole Blood,Light Rain,Returned - Weather,66
FLT-00013,ZIP-23,BAT-1696,2023-12-01 16:03:39,22.5,Kabgayi District Hospital,Muhanga,-2.02,29.75,16.4,1421,Whole Blood,Partly Cloudy,Partial Delivery,42
FLT-00014,ZIP-10,BAT-1881,2023-08-20 16:04:57,105.7,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1593,Whole Blood,Foggy,Delivered,61
FLT-00015,ZIP-23,BAT-1300,2023-10-19 20:41:18,111.3,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,523,Platelets,Overcast,Delivered,18
FLT-00016,ZIP-13,BAT-1934,2023-12-07 09:32:27,140.7,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1480,Fresh Frozen Plasma,Foggy,Returned - Weather,71
FLT-00017,ZIP-15,BAT-1780,2023-07-17 09:45:39,139.8,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1304,Whole Blood,Partly Cloudy,Delivered,56
FLT-00018,ZIP-19,BAT-1826,2023-07-10 00:08:07,82.8,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,690,Whole Blood,Overcast,Partial Delivery,33
FLT-00019,ZIP-27,BAT-1778,2023-01-31 20:04:08,109.9,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1768,Packed Red Cells,Light Rain,Returned - Weather,26
FLT-00020,ZIP-29,BAT-1540,2023-07-04 19:57:10,142.5,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,1066,Packed Red Cells,Partly Cloudy,Delivered,52
FLT-00021,ZIP-30,BAT-1687,2023-09-26 04:01:56,136.5,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,964,Platelets,Overcast,Delivered,51
FLT-00022,ZIP-28,BAT-1021,2023-02-17 05:50:27,99.7,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,1334,Packed Red Cells,Clear,Delivered,55
FLT-00023,ZIP-11,BAT-1069,2023-01-04 01:01:24,33.2,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,876,Whole Blood,Clear,Delivered,50
FLT-00024,ZIP-28,BAT-1135,2023-04-19 09:35:46,37.9,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1380,Platelets,Partly Cloudy,Returned - Weather,33
FLT-00025,ZIP-23,BAT-1674,2023-11-10 20:25:03,101.0,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,925,Platelets,Clear,Delivered,44
FLT-00026,ZIP-20,BAT-1412,2023-12-02 17:32:31,103.5,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,423,Packed Red Cells,Clear,Delivered,30
FLT-00027,ZIP-12,BAT-1255,2023-07-28 12:32:43,36.2,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1107,Whole Blood,Light Rain,Returned - Weather,21
FLT-00028,ZIP-17,BAT-1869,2023-07-30 04:38:41,141.6,Rwamagana District Hospital,Rwamagana,-1.95,30.4333,91.95,540,Platelets,Clear,Partial Delivery,49
FLT-00029,ZIP-10,BAT-1388,2023-03-25 06:16:09,104.6,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,999,Fresh Frozen Plasma,Clear,Delivered,68
FLT-00030,ZIP-16,BAT-1158,2023-04-22 00:42:55,101.1,Kibogora Hospital,Nyamasheke,-2.3333,29.0667,67.14,807,Packed Red Cells,Foggy,Returned - Technical,21
FLT-00031,ZIP-28,BAT-1051,2023-10-13 23:34:03,113.5,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1176,Packed Red Cells,Overcast,Delivered,21
FLT-00032,ZIP-17,BAT-1069,2023-02-01 08:41:34,116.0,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,1026,Whole Blood,Clear,Returned - Weather,54
FLT-00033,ZIP-28,BAT-1597,2023-08-14 01:55:00,37.3,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1270,Fresh Frozen Plasma,Foggy,Delivered,34
FLT-00034,ZIP-14,BAT-1405,2023-09-18 08:17:54,38.3,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1575,Fresh Frozen Plasma,Partly Cloudy,Delivered,47
FLT-00035,ZIP-29,BAT-1469,2023-12-28 01:04:42,88.6,Kabutare District Hospital,Huye,-2.5833,29.7333,57.09,1353,Whole Blood,Clear,Delivered,22
FLT-00036,ZIP-12,BAT-1902,2023-03-25 00:44:31,113.2,Byumba District Hospital,Gicumbi,-1.5833,30.0667,74.78,700,Fresh Frozen Plasma,Partly Cloudy,Delivered,36
FLT-00037,ZIP-30,BAT-1826,2023-06-20 10:10:34,39.3,Ruhango District Hospital,Ruhango,-2.2167,29.7833,23.72,1283,Whole Blood,Overcast,Returned - Weather,60
